isolate,species,genotype,temperature,rep,5dg,mgr
11tr087,F. meridionale,NIV,30,3,6.450,1.290
730-05,F. meridionale,NIV,30,1,5.000,1.000
730-05,F. meridionale,NIV,30,2,4.700,0.940
730-05,F. meridionale,NIV,30,3,4.750,0.950
10tr144,F. austroamericanum,3-ADON,30,1,3.650,0.730
10tr144,F. austroamericanum,3-ADON,30,2,3.500,0.700
10tr144,F. austroamericanum,3-ADON,30,3,3.500,0.700
10tr177,F. austroamericanum,3-ADON,30,1,3.450,0.690
10tr177,F. austroamericanum,3-ADON,30,2,3.450,0.690
10tr177,F. austroamericanum,3-ADON,30,3,3.600,0.720
