cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.263
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,2,17,1,1,1,3,17.647
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,3,19,0,1,0,1,5.263
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,4,16,0,1,0,1,6.25
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,5,17,0,1,0,1,5.882
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,6,16,0,1,1,2,12.5
BRS Guamirim,1,4,09tr002,F. meridionale,NIV,7,12,0,1,1,2,16.667
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.263
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,2,17,1,1,1,3,17.647
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,3,19,0,1,0,1,5.263
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,4,16,2,1,0,3,18.75
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,5,17,1,1,0,2,11.765
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,6,16,0,1,1,2,12.5
BRS Guamirim,1,7,09tr002,F. meridionale,NIV,7,12,0,1,1,2,16.667
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.263
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,2,17,1,1,1,3,17.647
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,3,19,0,1,0,1,5.263
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,4,16,2,1,0,3,18.75
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,5,17,1,1,0,2,11.765
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,6,16,0,1,1,2,12.5
BRS Guamirim,1,11,09tr002,F. meridionale,NIV,7,12,0,1,1,2,16.667
BRS Guamirim,1,17,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.263
BRS Guamirim,1,17,09tr002,F. meridionale,NIV,2,17,1,1,2,4,23.529
BRS Guamirim,1,17,09tr002,F. meridionale,NIV,3,19,1,1,1,3,15.789
