cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS Guamirim,1,17,09tr002,F. meridionale,NIV,5,17,2,1,0,3,17.647
BRS Guamirim,1,17,09tr002,F. meridionale,NIV,6,16,0,1,1,2,12.5
BRS Guamirim,1,17,09tr002,F. meridionale,NIV,7,12,0,1,2,3,25
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.263
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,2,17,2,1,2,5,29.412
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,3,19,2,1,1,4,21.053
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,4,16,2,1,1,4,25
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,5,17,2,1,1,4,23.529
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,6,16,0,1,1,2,12.5
BRS Guamirim,1,24,09tr002,F. meridionale,NIV,7,12,0,1,3,4,33.333
BRS Guamirim,2,4,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS Guamirim,2,4,09tr002,F. meridionale,NIV,2,20,0,1,1,2,10
BRS Guamirim,2,4,09tr002,F. meridionale,NIV,3,21,0,1,0,1,4.76
BRS Guamirim,2,4,09tr002,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS Guamirim,2,4,09tr002,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS Guamirim,2,4,09tr002,F. meridionale,NIV,6,18,0,1,1,2,11.11
BRS Guamirim,2,7,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS Guamirim,2,7,09tr002,F. meridionale,NIV,2,20,0,1,0,1,5
BRS Guamirim,2,7,09tr002,F. meridionale,NIV,3,21,0,1,0,1,4.76
BRS Guamirim,2,7,09tr002,F. meridionale,NIV,4,18,1,1,0,2,11.11
BRS Guamirim,2,7,09tr002,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS Guamirim,2,7,09tr002,F. meridionale,NIV,6,18,0,1,1,2,11.11
BRS Guamirim,2,11,09tr002,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS Guamirim,2,11,09tr002,F. meridionale,NIV,2,20,0,1,1,2,10
BRS Guamirim,2,11,09tr002,F. meridionale,NIV,3,21,0,1,0,1,4.76
BRS Guamirim,2,11,09tr002,F. meridionale,NIV,4,18,1,1,0,2,11.11
BRS Guamirim,2,11,09tr002,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS Guamirim,2,11,09tr002,F. meridionale,NIV,6,18,0,1,1,2,11.11
BRS Guamirim,2,17,09tr002,F. meridionale,NIV,1,19,1,1,0,2,10.53
BRS Guamirim,2,17,09tr002,F. meridionale,NIV,2,20,0,1,2,3,15
BRS Guamirim,2,17,09tr002,F. meridionale,NIV,3,21,1,1,0,2,9.52
BRS Guamirim,2,17,09tr002,F. meridionale,NIV,4,18,1,1,0,2,11.11
BRS Guamirim,2,17,09tr002,F. meridionale,NIV,5,18,0,1,1,2,11.11
BRS Guamirim,2,17,09tr002,F. meridionale,NIV,6,18,0,1,1,2,11.11
BRS Guamirim,2,24,09tr002,F. meridionale,NIV,1,19,2,1,0,3,15.79
BRS Guamirim,2,24,09tr002,F. meridionale,NIV,2,20,3,1,4,8,40
